10 Rillington Place
2001: A Space Odyssey
2010: The Year We Make Contact
8 Seconds
A Bronx tale
A Chorus Line
A Clockwork Orange
A Dry White Season
A family thing
A Few Good Men
A Fish Called Wanda
A Fistful of Dollars
A Hard Day's Night
A League of Their Own
A Midnight Clear
A Night to Remember
A River Runs Through It
A Simple Plan
A Star Is Born
A Time to Kill
A View to a Kill
About Last Night
Above the Law
Absence of Malice
Absolute Power
Ace Ventura: Pet Detective
Ace Ventura: When Nature Calls
Adam's Rib
Against All Odds
Air America
Air Force One
Aladdin
Alexander Nevsky
Alice in Wonderland
Alien
Alien 3
Alien Nation
Alien resurrection 
Aliens
All I Want for Christmas
All the King's Men
all the mornings of the world
Always
Amadeus
American Gigolo
An American Werewolf in London
An Early Frost
An Officer and a Gentleman
Angel Heart
Angus
Annie Hall
Another Stakeout
Antony and Cleopatra
Apocalypse Now
Apollo 13
Arachnophobia
At Play in the Fields of the Lord
Austin Powers: International Man of Mystery
Avalon
Awakenings
Babe
Back to the Future
Back to the Future Part III
Backdraft
Bad Influence
Bad Lieutenant
Bar Girls
Barb Wire
Barfly
Barton Fink
Basic Instinct
Batman
Batman & Robin
batman forever
Batman Returns
Beaches
Becket
Beetlejuice
Ben-Hur
Beverly Hills Cop II
Beverly Hills Cop III
Big
Big City Comedy
Big Trouble in Little China
Bill Cosby: Himself
Billionaire Boys Club
Biloxi Blues
Black Narcissus
Black Orpheus
Black Rain
Black Robe
Black Sheep
Black Widow
Blade Runner
Blame It on Rio
Blame It on the Bellboy
Blaze
Blazing Saddles
Blink
Blood In, Blood Out
Blood Red
Bloodsport
Blow Out
Blown Away
Blue Chips
Blue in the Face
Blue Sky
Blue Steel
Blue Thunder
Blue Velvet
Blur: Showtime
Body Double
Body Heat
Body of Evidence
Bogus
Boiling Point
Boomerang
Born Yesterday
Bottle Rocket
Bound
Boys on the Side
Bram Stoker's Dracula
Braveheart
Breakdown
Breakfast at Tiffany's
Breaking In
Breaking the Waves
Breathless
